bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45,monster,grass,16,overgrow,chlorophyll,medium slow,31,0,,ivysaur,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
ivysaur,2,Grass,Poison,405,60,62,63,80,80,60,monster,grass,32,overgrow,chlorophyll,medium slow,31,0,bulbasaur,ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
venusaur,3,Grass,Poison,525,80,82,83,100,100,80,monster,grass,,overgrow,chlorophyll,medium slow,31,0,ivysaur,ivysaur,Huge amounts of pollen burst from it with the force of a volcanic eruption. Breathing in too much of the pollen can cause fainting.
charmander,4,Fire,,309,39,52,43,60,50,65,monster,dragon,16,blaze,solar power,medium slow,31,0,,charmeleon,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
charmeleon,5,Fire,,405,58,64,58,80,65,80,monster,dragon,36,blaze,solar power,medium slow,31,0,charmander,charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
charizard,6,Fire,Flying,534,78,84,78,109,85,100,monster,dragon,,blaze,solar power,medium slow,31,0,charmeleon,charmeleon,"The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher."
squirtle,7,Water,,314,44,48,65,50,64,43,monster,water 1,16,torrent,rain dish,medium slow,31,0,,wartortle,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
wartortle,8,Water,,405,59,63,80,65,80,58,monster,water 1,36,torrent,rain dish,medium slow,31,0,squirtle,wartortle,It cleverly controls its furry ears and tail to maintain its balance while swimming.
blastoise,9,Water,,530,79,83,100,85,105,78,monster,water 1,,torrent,rain dish,medium slow,31,0,wartortle,wartortle,Water fired from this Pokemon’s central main cannon has enough power to blast a hole into a mountain.
caterpie,10,Bug,,195,45,30,35,20,20,45,bug,,7,shield dust,run away,medium fast,127,0,,metapod,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
metapod,11,Bug,,205,50,20,55,25,25,30,bug,,10,shed skin,,medium fast,127,0,caterpie,metapod,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
butterfree,12,Bug,Flying,395,60,45,50,90,80,70,bug,,,compound eyes,tinted lens,medium fast,127,0,metapod,metapod,"Once it has opponents trapped in a tornado that could blow away a 10-ton truck, it finishes them off with its poisonous scales."
weedle,13,Bug,Poison,195,40,35,30,20,20,50,bug,,7,shield dust,run away,medium fast,127,0,,kakuna,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
kakuna,14,Bug,Poison,205,45,25,50,25,25,35,bug,,10,shed skin,,medium fast,127,0,weedle,kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
beedrill,15,Bug,Poison,395,65,90,40,45,80,75,bug,,,swarm,sniper,medium fast,127,0,kakuna,kakuna,"Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear."
pidgey,16,Normal,Flying,251,40,45,40,35,35,56,flying,,18,keen eye,big pecks,medium slow,127,0,,pidgeotto,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
pidgeotto,17,Normal,Flying,349,63,60,55,50,50,71,flying,,36,keen eye,big pecks,medium slow,127,0,pidgey,pidgeotto,This Pokemon is full of vitality. It constantly flies around its large territory in search of prey.
pidgeot,18,Normal,Flying,479,83,80,75,70,70,101,flying,,,keen eye,big pecks,medium slow,127,0,pidgeotto,pidgeotto,"With its muscular strength now greatly increased, it can fly continuously for two weeks without resting."
rattata,19,Normal,,253,30,56,35,25,35,72,field,,20,run away,hustle,medium fast,127,0,,raticate,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
raticate,20,Normal,,413,55,81,60,50,70,97,field,,,run away,hustle,medium fast,127,0,rattata,raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
spearow,21,Normal,Flying,262,40,60,30,31,31,70,flying,,20,keen eye,sniper,medium fast,127,0,,fearow,"Inept at flying high. However, it can fly around very fast to protect its territory."
fearow,22,Normal,Flying,442,65,90,65,61,61,100,flying,,,keen eye,sniper,medium fast,127,0,spearow,fearow,"A Pokemon that dates back many years. If it senses danger, it flies high and away, instantly."
ekans,23,Poison,,288,35,60,44,40,54,55,field,dragon,22,intimidate,unnerve,medium fast,127,0,,arbok,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
arbok,24,Poison,,448,60,95,69,65,79,80,field,dragon,,intimidate,unnerve,medium fast,127,0,ekans,arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.
pikachu,25,Electric,,320,35,55,40,50,50,90,field,fairy,,static,lightning rod,medium fast,127,0,pichu,pikachu,"When it smashes its opponents with its bolt- shaped tail, it delivers a surge of electricity equivalent to a lightning strike."
raichu,26,Electric,,485,60,90,55,90,80,110,field,fairy,,static,lightning rod,medium fast,254,0,pikachu,pikachu,This Pokemon rides on its tail while it uses its psychic powers to levitate. It attacks with star-shaped thunderbolts.
sandshrew,27,Ground,,300,50,75,85,20,30,40,field,,22,sand veil,sand rush,medium fast,127,0,,sandslash,"It lives in snowy mountains on southern islands. When a blizzard rolls in, this Pokemon hunkers down in the snow to avoid getting blown away."
sandslash,28,Ground,,450,75,100,110,45,55,65,field,,,sand veil,sand rush,medium fast,127,0,sandshrew,sandslash,"Many people climb snowy mountains, hoping to see the icy spikes of these Pokemon glistening in the light of dawn."
nidoran-f,29,Poison,,275,55,47,52,40,40,41,monster,field,16,poison point,hustle,medium slow,127,0,,nidorina,A mild-mannered Pokemon that does not like to fight. Beware—its small horn secretes venom.
nidorina,30,Poison,,365,70,62,67,55,55,56,undiscovered,,,poison point,hustle,medium slow,254,0,nidoran-f,nidorina,"When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed."
nidoqueen,31,Poison,Ground,505,90,92,87,75,85,76,undiscovered,,,poison point,sheer force,medium slow,254,0,nidorina,nidorina,Tough scales cover the sturdy body of this Pokemon. It appears that the scales grow in cycles.
nidoran-m,32,Poison,,273,46,57,40,40,40,50,monster,field,16,poison point,hustle,medium slow,254,0,,nidorino,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
nidorino,33,Poison,,365,61,72,57,55,55,65,monster,field,,poison point,hustle,medium slow,0,0,nidoran-m,nidorino,"Its horn contains venom. If it stabs an enemy with the horn, the impact makes the poison leak out."
nidoking,34,Poison,Ground,505,81,102,77,85,75,85,monster,field,,poison point,sheer force,medium slow,0,0,nidorino,nidorino,"Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
clefairy,35,Fairy,,323,70,45,48,60,65,35,fairy,,,cute charm,friend guard,fast,0,0,cleffa,clefairy,"Its adorable behavior and cry make it highly popular. However, this cute Pokemon is rarely found."
clefable,36,Fairy,,483,95,70,73,95,90,60,fairy,,,cute charm,unaware,fast,191,0,clefairy,clefairy,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
vulpix,37,Fire,,299,38,41,40,50,65,65,field,,,flash fire,drought,medium fast,191,0,,ninetales,"If you observe its curly hairs through a microscope, you’ll see small ice particles springing up."
ninetales,38,Fire,,505,73,76,75,81,100,100,field,,,flash fire,drought,medium fast,191,0,vulpix,ninetales,"While it will guide travelers who get lost on a snowy mountain down to the mountain’s base, it won’t forgive anyone who harms nature."
Jigglypuff,39,Normal,Fairy,270,115,45,20,45,25,20,fairy,,,cute charm,friend guard,fast,191,0,igglybuff,jigglypuff,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy."
wigglytuff,40,Normal,Fairy,435,140,70,45,85,50,45,fairy,,,cute charm,frisk,fast,191,0,jigglypuff,jigglypuff,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly."
zubat,41,Poison,Flying,245,40,45,35,30,40,55,flying,,22,inner focus,infiltrator,medium fast,191,0,,golbat,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
golbat,42,Poison,Flying,455,75,80,70,65,75,90,flying,,,inner focus,infiltrator,medium fast,127,0,zubat,golbat,"It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and to suck blood."
oddish,43,Grass,Poison,320,45,50,55,75,65,30,grass,,21,chlorophyll,run away,medium slow,127,0,,gloom,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
gloom,44,Grass,Poison,395,60,65,70,85,75,40,grass,,,chlorophyll,stench,medium slow,127,0,oddish,gloom,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
vileplume,45,Grass,Poison,490,75,80,85,110,90,50,grass,,,chlorophyll,effect spore,medium slow,127,0,gloom,gloom,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
paras,46,Bug,Grass,285,35,70,55,45,55,25,bug,grass,24,effect spore,damp,medium fast,127,0,,parasect,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
parasect,47,Bug,Grass,405,60,95,80,60,80,30,bug,grass,,effect spore,damp,medium fast,127,0,paras,parasect,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
venonat,48,Bug,Poison,305,60,55,50,40,55,45,bug,,31,compound eyes,run away,medium fast,127,0,,venomoth,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
venomoth,49,Bug,Poison,450,70,65,60,90,75,90,bug,,,shield dust,wonder skin,medium fast,127,0,venonat,venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
diglett,50,Ground,,265,10,55,25,35,45,95,field,,26,sand veil,sand force,medium fast,127,0,,dugtrio,Its three hairs change shape depending on Diglett’s mood. They’re a useful communication tool among these Pokemon.
